D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
2.9665330661322646,0.628509708486152
2.967434869739479,0.63840540057768
2.9683366733466934,0.6481585338401157
2.9692384769539077,0.6577741635133898
2.970140280561122,0.6672499865426578
2.971042084168337,0.6765923007604241
2.9719438877755513,0.685801134772065
2.9728456913827657,0.6948789691062073
2.97374749498998,0.703827246345857
2.9746492985971944,0.7126499088506622
2.9755511022044088,0.7213425618992176
2.976452905811623,0.7299085229821323
2.9773547094188375,0.7383432513673432
2.9782565130260523,0.7466496959147949
2.9791583166332667,0.7548260835842278
2.980060120240481,0.7628701073193642
2.9809619238476954,0.7707781458547989
2.98186372745491,0.7785493785218504
2.982765531062124,0.7861835397402221
2.9836673346693385,0.7936748507147894
2.9845691382765533,0.8010219598823184
2.9854709418837677,0.8082229149473728
2.986372745490982,0.815272774372248
2.9872745490981965,0.8221716803559771
2.988176352705411,0.8289136456115289
2.989078156312625,0.8355012474002443
2.9899799599198396,0.841927525991335
2.990881763527054,0.848194351210303
2.9917835671342687,0.8542976075329836
2.992685370741483,0.8602363760039446
2.9935871743486975,0.8660079202654993
2.994488977955912,0.871613601019244
2.995390781563126,0.877051340282403
2.9962925851703406,0.8823193953919921
2.9971943887775554,0.8874183074201827
2.9980961923847698,0.892346925355723
2.998997995991984,0.8971048846631702
2.9998997995991985,0.9016940817448906
3.000801603206413,0.9061106741402334
3.0017034068136272,0.9103574198574373
3.0026052104208416,0.9144340441946905
3.003507014028056,0.9183396777068763
3.0044088176352703,0.9220743994596658
3.005310621242485,0.925637349953762
3.0062124248496995,0.9290289698006802
3.007114228456914,0.9322494602004742
3.0080160320641283,0.9352965097991026
3.0089178356713426,0.9381717526822599
3.009819639278557,0.940873485891071
3.010721442885772,0.9434002576108853
3.011623246492986,0.9457525290170499
3.0125250501002006,0.9479299396567572
3.013426853707415,0.9499299326567826
3.0143286573146293,0.9517523862556301
3.0152304609218437,0.9533978533519152
3.016132264529058,0.954863835534808
3.0170340681362724,0.9561511012715301
3.017935871743487,0.9572588520734793
3.0188376753507016,0.9581871203164072
3.019739478957916,0.958936833363186
3.0206412825651303,0.9595072036480632
3.0215430861723447,0.9599004705594316
3.022444889779559,0.9601173325101187
3.0233466933867734,0.9601602368443583
3.0242484969939882,0.9600310248363249
3.0251503006012026,0.9597325125618039
3.026052104208417,0.9592684368003511
